id,word,segments,labels,origin
1,onuruna,onur+u+na,P3SG+DAT,adjudicated_old
2,kale,kale,,annotator_agreed
3,canları,can+lar+ı,,annotator_agreed
4,kapsamında,kapsam+ı+nda,P3SG+LOC,adjudicated_old
5,varsada,var+sa+da,COND+LOC,annotator_agreed
6,bağlamda,bağlam+da,LOC,annotator_agreed
7,doktorların,doktor+lar+ın,,annotator_agreed
8,külahlar,külah+lar,PL,annotator_agreed
9,Ekber,Ekber,,annotator_agreed
10,gazete,gazete,,annotator_agreed
11,kuruluşundan,kuruluş+un+dan,,annotator_agreed
12,günlerde,gün+ler+de,PL+LOC,annotator_agreed
13,politik,politik,,annotator_agreed
14,deneyemedim,deney+e+me+dim,,annotator_agreed
15,puan,puan,,adjudicated_old
16,bana,bana,,annotator_agreed
17,sürdürdüğünü,sürdür+düğ+ü+nü,PTCP+P3SG+ACC,adjudicated_old
18,Bobby,Bobby,,annotator_agreed
19,olduğundan,ol+duğ+u+ndan,,annotator_agreed
20,kimileri,kimi+ler+i,,annotator_agreed
21,Sanat,Sanat,,annotator_agreed
22,bayanı,bayan+ı,,annotator_agreed
23,Konak,Konak,,annotator_agreed
24,geçtiğini,geç+tiğ+i+ni,PTCP+P3SG+ACC,adjudicated_old
25,Boğazı,Boğaz+ı,,annotator_agreed
26,görüşlerinizi,görüş+ler+iniz+i,PL+P2PL+ACC,adjudicated_old
27,genişletirken,genişlet+ir+ken,AOR+CV,annotator_agreed
28,biliniyor,bil+in+iyor,PASS/REFL+PROG,adjudicated_old
29,Çağlan,Çağlan,,annotator_agreed
30,kalite,kalite,,annotator_agreed
31,kariyerini,kariyer+i+ni,,annotator_agreed
32,mümkündür,mümkün+dür,COP,annotator_agreed
33,Sarfettiği,Sarfet+tiğ+i,PTCP+P3SG/ACC,adjudicated_old
34,olmasıyla,olma+sı+yla,P3SG+INS,annotator_agreed
35,Denetçisi,Denetçi+si,P3SG,annotator_agreed
36,gözlerini,göz+ler+i+ni,,annotator_agreed
37,KULLANILMALI,KULLAN+IL+MALI,PASS/REFL+NEC,adjudicated_old
38,milletin,millet+in,,annotator_agreed
39,itibari,itibari,,annotator_agreed
40,Bunun,Bu+nun,GEN,adjudicated_old
41,Üretilen,Üret+il+en,,annotator_agreed
42,alma,alma,,annotator_agreed
43,Yabancı,Yaban+cı,AGT,adjudicated_old
44,Ağustos,Ağustos,,annotator_agreed
45,Yayılarak,Yayıl+arak,CV,annotator_agreed
46,vergisi,vergi+si,P3SG,annotator_agreed
47,motorlu,motor+lu,ADJ,annotator_agreed
48,aşımına,aşım+ı+na,P3SG+DAT,adjudicated_old
49,bozukluğu,bozukluğ+u,,annotator_agreed
50,değer,değer,,adjudicated_old
51,uğramalısınız,uğra+malı+sınız,,annotator_agreed
52,Monetary,Monetary,,annotator_agreed
53,hayır,hayır,,adjudicated_old
54,milyar,milyar,,adjudicated_old
55,Olimposlular,Olimpos+lu+lar,ADJ+PL,adjudicated_old
56,araştırılması,araştırılma+sı,P3SG,annotator_agreed
57,gündemi,gündem+i,,annotator_agreed
58,yıla,yıl+a,DAT,annotator_agreed
59,finalde,final+de,LOC,annotator_agreed
60,toplamdan,toplam+dan,ABL,annotator_agreed
61,gözlere,göz+ler+e,PL+DAT,annotator_agreed
62,gerekir,gerek+ir,AOR,annotator_agreed
63,Azimli,Azim+li,ADJ,adjudicated_old
64,İşlemin,İşlem+in,,annotator_agreed
65,çağdaş,çağdaş,,annotator_agreed
66,dolarlık,dolar+lık,NMLZ,annotator_agreed
67,bölgelerinde,bölge+ler+in+de,,annotator_agreed
68,dostlarının,dost+lar+ı+nın,,annotator_agreed
69,gezer,gez+er,AOR,annotator_agreed
70,sıkı,sıkı,,annotator_agreed
71,gerilim,gerilim,,annotator_agreed
72,özel,özel,,annotator_agreed
73,yuvası,yuva+sı,P3SG,annotator_agreed
74,yerin,yer+in,,annotator_agreed
75,çekiyor,çek+iyor,PROG,annotator_agreed
76,Cumhurbaşkanımızın,Cumhurbaşkan+ımız+ın,,annotator_agreed
77,dermapen,dermapen,,adjudicated_old
78,derim,der+im,A1SG/P1SG,adjudicated_old
